# Skapad datum	2023-01-24 03:43 
# Intervall från	2010-01-01
# Intervall till	2023-01-31
# Nyttighet	Fjärrvärme Förbrukning
# 
# Datum	Konsumtion(kWh)
feb-2015	176870,000
mar-2015	160940,000
apr-2015	121560,000
maj-2015	104600,000
jun-2015	80010,000
jul-2015	66040,000
aug-2015	66250,000
sep-2015	92760,000
okt-2015	155550,000
nov-2015	194130,000
dec-2015	197540,000
jan-2016	285160,000
feb-2016	201610,000
mar-2016	182420,000
apr-2016	138760,000
maj-2016	97430,000
jun-2016	75720,000
jul-2016	47220,000
aug-2016	74040,000
sep-2016	84350,000
okt-2016	117140,000
nov-2016	175780,000
dec-2016	196440,000
jan-2017	198450,000
feb-2017	183610,000
mar-2017	179680,000
apr-2017	141640,000
maj-2017	115640,000
jun-2017	75270,000
jul-2017	68620,000
aug-2017	66190,000
sep-2017	112350,000
okt-2017	154560,000
nov-2017	171920,000
dec-2017	202600,000
jan-2018	218240,000
feb-2018	222330,000
mar-2018	186400,000
apr-2018	123680,000
maj-2018	80610,000
jun-2018	58220,000
jul-2018	20540,000
aug-2018	31330,000
sep-2018	66000,000
okt-2018	113950,000
nov-2018	139540,000
dec-2018	194510,000
jan-2019	236590,000
feb-2019	185280,000
mar-2019	152890,000
apr-2019	100710,000
maj-2019	76380,000
jun-2019	34810,000
jul-2019	24910,000
aug-2019	25410,000
sep-2019	63130,000
okt-2019	121780,000
nov-2019	156340,000
dec-2019	150920,000
jan-2020	150600,000
feb-2020	145090,000
mar-2020	133470,000
apr-2020	105210,000
maj-2020	81340,000
jun-2020	22230,000
jul-2020	15980,000
aug-2020	26410,000
sep-2020	46030,000
okt-2020	78600,000
nov-2020	96760,000
dec-2020	118640,000
jan-2021	187750,000
feb-2021	156820,000
mar-2021	121130,000
apr-2021	82580,000
maj-2021	52370,000
jun-2021	38510,000
jul-2021	15580,000
aug-2021	50890,000
sep-2021	71590,000
okt-2021	105380,000
nov-2021	148810,000
dec-2021	197550,000
jan-2022	175540,000
feb-2022	157850,000
mar-2022	131700,000
apr-2022	96840,000
maj-2022	73940,000
jun-2022	36370,000
jul-2022	19670,000
aug-2022	26440,000
sep-2022	50480,000
okt-2022	81090,000
nov-2022	119210,000
dec-2022	153700,000
jan-2023	110140,000
# Total	176870,000
# Min	176870,000
# Max	176870,000
# Average	176870,000
